www.publico.pt,Público
publico.pt,Público
www.dn.pt,Diário de Notícias
www.rtp.pt,RTP
rpt.pt,RTP
www.cmjornal.pt,Correio da Manhã
www.iol.pt,IOL
www.tvi24.iol.pt,TVI
tvi24.iol.pt,TVI
noticias.sapo.pt,Sapo
observador.pt,Observador
expresso.pt,Expresso
www.expresso.pt,Expresso
sol.sapo.pt,SOL
www.jornaldenegocios.pt,Jornal de Negócios
www.jn.pt,Jornal de Notícias
jn.pt,Jornal de Notícias
ionline.pt,Jornal i
sicnoticias.pt,SIC
www.sicnoticias.pt,SIC
www.lux.iol.pt,Lux
www.ionline.pt,Jornal i
news.google.pt,Google
www.dinheirovivo.pt,Dinheiro Vivo
www.aeiou.pt,AEIOU
aeiou.pt,AEIOU
www.tsf.pt,TSF
tsf.pt,TSF
www.sabado.pt,
dnoticias.pt,Diário de Notícias (Madeira)
www.dnoticias.pt,Diário de Notícias (Madeira)
economico.sapo.pt,Jornal Económico
cnnportugal.iol.pt,CNN Portugal
